Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
250,522800,61900,12900,159200,115400,15700,27600,245200,1068200,24200,10700,135900,179500,110800,11100,191500,95800,865400,35800,196400,209100
500,12178600,70300,14800,59900,99900,16500,32900,624700,116000,26900,11300,466000,111200,215400,14500,586200,116400,1389200,15900,593600,734500
750,130600,8442400,13900,61500,65600,14600,30800,939900,135500,29100,12300,756500,93700,455800,12400,756400,118400,1971000,14100,990000,901400
1000,166300,58800,14500,75600,58200,14100,32800,1447500,105500,26800,11400,878800,105200,788200,13400,1150600,98700,4337000,14500,1468300,1322100
1250,131900,50100,15600,72900,56600,13900,29100,2096200,124600,27500,12900,1570400,96600,1226500,13100,1939000,131100,3823500,12900,1775700,1653600
1500,134400,51200,13300,65300,77200,15500,28600,3555300,90200,30400,12200,1579800,176500,1670900,11500,2535400,63800,5986600,33000,2250000,1693000
1750,135000,52800,18000,63800,60900,15400,30200,3651600,92200,27800,13500,2159400,101600,2191500,15200,2650900,47500,5784800,28600,2573100,2759000
2000,122600,54100,20800,62000,68900,16100,30300,4582300,95700,29400,11000,3495200,127000,2899500,12800,3453800,49700,6323500,47100,3040000,3624700
2250,107000,56000,17700,56900,64000,14500,30900,5973300,95800,27900,11200,4011800,193000,3537600,13300,4080700,111000,7419800,13100,3370400,2515300
2500,94400,57100,18900,53400,97100,14200,29100,6550500,174000,31400,11100,5086400,136700,4463400,12600,6617800,37900,7015900,16600,3905200,3532500
2750,162900,58900,17600,54200,100100,14300,27200,6591100,95900,31900,9100,5427100,98400,5108700,12100,5481400,43700,7612800,15800,4259800,4313500
3000,143300,66600,17000,51900,218800,14000,30400,6938600,91000,30000,7100,6702900,69900,5901500,13400,9997400,39400,8185900,15800,4814100,4904900
3250,184500,60500,18200,60000,216000,12700,31100,7484100,90000,30000,7200,6899700,94700,7002100,15000,12005700,41100,8955600,17600,5666900,4452400
3500,372800,60300,18400,63900,248100,15600,31100,8085400,97700,31000,6900,7176200,101800,6819000,17000,7045300,38600,9588900,17300,5751500,4268100
3750,278800,62400,17600,41200,68200,15300,32200,8614100,95900,29100,7300,7292200,85800,7403400,18600,8157600,40800,10242700,15300,6254300,4275500
4000,227300,62000,18900,40300,67100,14700,38900,9154900,93300,30600,6900,7800400,142000,7912400,15800,8215600,49700,10950600,12300,6701200,4508700
4250,174800,65100,17100,36900,50000,15200,37100,9729700,93800,32100,8000,8296800,79900,8497100,18200,15680600,230000,11611000,16500,7213300,4819300
4500,173900,65100,17600,36500,48200,16700,32100,10302700,94800,33000,7800,8858000,64400,8976800,14800,11708900,58000,12336400,16200,7612800,5112900
4750,165600,64300,18500,39000,50100,17000,33300,10820700,96600,30200,8500,9350600,64300,9520400,15600,14255000,57100,13061500,13500,8008500,5419100
5000,145800,63600,18600,51600,56500,17700,32500,11377600,100600,32100,8500,9928900,172700,10732900,18200,16102700,52700,13790800,31700,8476000,5686200
5250,145000,65000,18600,36100,80800,14900,34300,11906100,261900,31900,8000,10518300,134300,10814400,20600,11484600,46500,14770800,13900,8828600,5990600
5500,194500,63300,19300,38100,399700,15500,33600,12427300,86700,33700,8100,10914200,85900,11429300,16800,11933200,51700,15224100,11200,9296600,6288800
5750,263700,65400,19300,37400,185200,14900,33200,12983800,91500,30300,8300,11033900,64200,11745600,15100,12384800,45200,16163800,41200,10008300,6563200
6000,303000,66500,17600,36300,91900,17700,29700,13453000,87100,33100,10100,11327000,75200,12574700,18700,12835900,55200,16724600,16100,10318900,6894900
6250,348600,68500,17600,36500,223300,14000,34400,14168600,114000,35700,47800,11702600,118700,13644000,19300,13452700,47900,17439000,10100,10716900,7161500
6500,403400,78900,17500,35900,72700,13900,30800,14630900,89000,33100,10900,12137200,105700,13519100,16600,14546800,53100,18296900,9800,11220300,7433000
6750,332000,68700,19300,37100,167200,15100,29600,15028700,91400,31700,11500,12567200,52300,13699300,17700,14430000,71600,18677300,11300,11375700,7745600
7000,215200,68100,20700,36500,58600,15200,32500,15555100,92000,32000,11400,12945200,48000,14132500,17000,15007200,71400,19438200,30100,11965100,8036800
7250,347300,68400,19100,35500,44900,48600,30600,16678100,92600,36100,12200,13393600,47000,14731400,18100,15322500,90000,20216400,11100,12413300,8356700
7500,160400,69500,19100,35300,43800,74700,33200,17567400,92200,34900,10400,13742500,77300,15837600,19800,21920000,86200,20744800,8800,12986900,8549700
7750,166000,75400,18200,36100,45200,57400,33500,18277000,94200,33900,12100,14240100,89000,16206000,19000,37792900,88000,22241100,11600,13291200,9334700
8000,164700,69800,18700,36100,44900,19600,35100,17595000,90400,37700,11000,14580300,137000,16357600,19300,23135100,91000,22597300,12100,13664900,9580100
8250,135600,70500,19000,36400,64200,17800,33100,18436000,89200,34400,10400,14971200,59800,16796000,18500,17138900,1020700,23355700,12800,14329500,9467600
8500,184800,71900,18000,33800,51300,17300,32600,19211000,90700,33700,10100,15365200,44600,17867300,17900,17856300,105200,24008100,8700,14433700,9820700
8750,245500,120900,17300,34400,51500,19500,33400,19918500,90100,34800,10100,16216600,75000,17540900,19400,19047400,64400,24453300,9200,15402500,10192000
9000,354600,72700,19600,36200,43900,38400,33000,20363400,108500,39700,9600,20130500,85500,17971400,19400,19159700,59500,25090500,11600,15742200,10351300
9250,255200,71100,19100,35400,37500,62300,33100,20337600,110300,37200,11300,19568400,114700,19380800,21600,19411300,87800,26696900,11500,16123300,10553200
9500,251600,72600,19300,37000,41200,55800,31700,20762600,128700,38700,10500,17037300,125300,19493300,22200,20449900,95800,26818400,9600,16249400,10881900
9750,311400,72900,18500,36300,45900,61700,33600,21481800,92600,35200,12500,17352300,68400,20074000,19400,20786000,59100,28491700,7700,16751200,11183000
10000,423000,74300,19800,37400,42700,71000,34100,21784600,102000,35200,11400,17857000,45800,21306200,21200,31284400,90800,28008100,9900,17313300,11356900
10250,393100,76100,17300,35900,40100,32600,42200,22241900,94400,38000,11400,18223400,45100,20640500,18400,22799800,55300,28835900,11300,17980300,12403400
10500,339700,80400,20500,37700,40200,16600,38400,24188700,969800,35400,9900,18537800,44600,21238000,17600,22015000,54500,29490100,10700,18010800,13224100
10750,301100,73600,19100,35500,41400,16100,34000,23998600,61500,37100,10700,18986600,59400,22032700,19900,22911500,47600,30206500,11500,18311900,12381200
11000,284400,73600,20600,34200,39800,19100,37900,25023700,73200,38200,10800,19502500,44200,22892600,20300,32240300,38500,31437700,12100,18958500,12657900
11250,210500,77500,18200,33700,40700,18200,35200,25143700,97400,33100,12000,19976400,44900,26532700,17800,24167300,42700,31588300,9600,19231500,12874800
11500,220500,78500,18900,33800,43300,17800,40100,25505900,115600,37900,11400,20222900,43400,24138200,17400,24323200,36900,32477500,10400,19803400,13231700
11750,148400,77200,18000,33900,49700,15800,38100,26897800,95000,34900,11000,20565900,44200,24039900,20200,24735100,41800,33249300,9600,20371700,13846500
12000,258300,77600,19100,34800,47900,17400,38700,27825000,81800,38500,12500,21042200,43000,32760100,20800,24907500,37600,33917100,8800,21259000,14014200
12250,213900,77900,19300,36000,40300,16100,36100,26666400,76800,36000,11800,21827600,44400,24523400,19100,25280600,46000,34685900,9400,21929200,14198300
12500,161700,77900,18200,34200,43400,16000,45600,27190300,79900,37500,12200,22899300,42300,25401000,19300,25777000,45600,34948900,9700,22861700,14508400
12750,133800,80000,19100,35100,79600,40500,46200,27704200,86100,37200,13300,23430500,42600,25323700,18800,27295000,41100,35815900,9600,23197900,14792900
13000,127300,82400,20100,34100,52500,20100,48700,28572900,78100,36600,11400,24054100,44300,26194500,18800,26737500,43500,36693900,9600,24493000,15070000
13250,127300,87200,19800,33300,46000,18800,58200,29584600,79000,38700,12500,23780300,42300,34768800,20000,27608300,41200,37596900,9600,24607800,15389100
13500,123000,85900,20000,34300,49800,24700,41800,29874400,76200,42300,11500,28415800,42800,27080600,19100,27440600,45300,38244400,9500,25235400,15551200
13750,121200,89400,19400,33000,46600,16200,27700,30788800,84000,40800,11900,26465400,41400,28462600,19800,29072900,68200,38896200,9300,25886100,15937100
14000,122900,91500,20400,36000,49700,16000,27800,30865500,86600,37700,13700,24788000,43800,27928500,19400,29132600,41200,40736900,11100,26394300,16108500
14250,125900,110200,19300,33500,43900,19500,37800,30668700,81300,36000,12600,25183200,41300,28942600,22100,43923300,42500,40412500,9800,27016600,16404300
14500,121600,248300,19200,36200,54300,15300,83000,31369200,77100,37700,12300,25744800,42200,28473400,19600,36305000,47300,41625600,9000,27787500,16430600
14750,119000,207800,19900,32700,47400,17000,114700,34445000,77600,37800,12500,26901900,42700,30691300,17800,32281000,50500,46867600,9400,28125300,16937400
15000,128800,95300,20600,32500,44000,15000,62400,32375900,75800,41200,11900,26533500,40900,38906300,19200,39993400,51600,43356900,10400,29036500,16986700
15250,121200,76800,21400,54800,45400,16300,32500,33916300,79200,39300,11100,26957900,54800,44331200,19700,31755900,52500,44298300,9600,29850100,17305500
15500,120900,76900,19600,36300,45000,18600,37300,34098700,76500,41800,11500,27395400,117600,30795500,17600,32096600,52800,44291100,10600,30332900,17720300
15750,115600,76800,19700,36000,51200,15000,33300,34650500,78200,40800,12800,27971000,112700,31330100,19500,34957900,47200,45028400,8300,31632100,18133300
16000,122700,78400,19400,34600,47600,16800,37000,35313500,78500,39500,12600,28471800,122900,32474000,19900,32812000,42000,45736900,11000,31412300,18176300
16250,189100,76900,19800,49400,43200,18700,32100,36640500,79400,40800,13400,29019000,110500,33377500,19400,33588400,160200,46758300,9500,32486100,18504800
16500,142000,78300,20600,53700,43900,16700,34600,36054800,81900,42000,12600,51488500,112700,33368400,18700,36343600,965300,47067600,9500,33631900,19037000
16750,118700,77500,19000,79200,43000,16200,34500,36485700,75900,41900,11900,35894900,54500,33473500,20400,34982700,71200,47780400,11000,34294400,19280600
17000,114800,78600,18800,54400,59300,16100,58200,37329300,79600,43100,33800,29897700,41900,39607900,19600,51728200,184000,49218900,8200,34717300,22038800
17250,163400,79400,19100,54500,56200,16000,44700,36989800,73200,38600,15000,30263200,39000,41459600,22100,36363600,69000,49607300,8600,35523100,24648100
17500,234100,80200,19200,38400,53700,15600,65500,38235700,75900,42800,13400,30809400,42600,42867800,19700,36285700,86900,49956000,9100,36530700,43121400
17750,214600,80000,19600,47000,45600,12400,50500,38559200,77800,40200,13200,31290000,53700,35585100,18400,37164600,50400,50202600,9400,36348600,36708500
18000,151600,79800,18900,34100,45700,14600,69300,39453600,81200,41300,13200,40079800,44400,36041500,17400,37769400,56200,51392300,9200,37099600,37877300
18250,136900,81000,19100,33500,44300,15600,60300,41110100,81500,44400,13900,37108400,40100,37399200,20300,38039000,46100,52126100,9000,37735100,34296100
18500,156000,81400,19200,34400,44300,16000,83900,40137000,78200,43600,12600,32961100,39900,38125300,20500,38430300,52600,52899100,8800,38401100,64190500
18750,151800,81800,18600,34000,48000,16900,187100,41337300,77200,42500,14000,32946200,42800,37908800,18000,41014200,49600,53493900,9400,38880100,53861400
19000,143800,97500,16900,34300,43500,15100,415000,41803500,77100,43500,12600,39910100,40200,40660500,18100,39434700,59900,53779500,7300,39790400,38558300
19250,117300,80500,16000,33200,44000,15600,64700,42024900,76900,40900,12900,34640600,106300,45956100,20000,40498700,57000,55211100,9400,41220900,25915100
19500,117300,81000,16700,32100,42200,15800,55800,42741400,75900,45300,11700,33157400,121800,45821200,21400,40985600,53000,57012300,9500,41187800,22800700
19750,137000,83100,17900,34100,40500,15300,60600,42992400,76700,43400,12700,33746500,109700,39685200,19900,41839400,68200,57586700,8900,41761200,24134800
20000,170800,81200,19200,33900,37200,17600,59500,43822400,78900,49000,12600,34316300,111700,42859900,19400,41619300,63000,57554700,8800,42494500,27150400
20250,185700,82600,17500,32800,37300,14800,64800,43839200,76200,47100,12200,43209700,123800,48017100,18600,42439700,57200,59148100,8000,43213400,23992800
20500,218900,79400,16900,34200,168900,14900,61000,44714800,76000,48700,13200,35214500,64000,43022400,18700,41718300,55600,63254700,7500,43578500,25356000
20750,212700,82600,18600,32400,79100,16000,60200,44762700,76700,48000,12700,37666800,42500,42198800,19300,52385900,47100,63367400,8400,44566700,24075800
21000,195300,83400,17400,32000,70600,16000,61000,46092100,1931200,48300,10800,38112600,40700,42964600,18500,45574700,51900,65133600,9300,45861300,24930300
21250,117200,84400,16200,32500,68500,13900,54300,46226900,57900,52100,11400,37030700,40800,49024200,16500,44296400,40300,63018800,9100,45962700,24458600
21500,115500,83900,18600,33300,66100,14900,48900,47663000,59300,50600,10100,37443200,43500,43955300,19400,45962800,41800,66756500,10300,46328800,24989000
21750,115600,82700,21400,32900,57900,14600,52000,47386600,57500,49900,12100,37859300,41400,44704100,16900,45790400,49700,62182000,10400,46706300,25755300
22000,212600,83800,18000,32900,65800,13500,48600,47892100,59800,47600,10800,40240300,41500,45381100,18300,46056600,46600,63753300,9900,47800100,27372300
22250,229800,85200,17700,32500,72400,14900,48800,48946900,60700,48700,11200,37906500,41800,45961000,19700,47129700,43100,64874200,9600,48546300,25603600
22500,199800,85300,17500,33700,77400,14100,51400,49073800,59400,49600,10900,38041200,39500,47329800,20800,47249400,45200,65370400,9500,49330200,25971300
22750,336500,84900,17300,32100,86400,15000,68300,49384600,56500,56400,10900,38572900,41200,45930200,20700,47124600,43000,65877800,33800,51563800,26198400
23000,297300,85500,48300,32300,318000,14100,59800,50593400,59100,87200,11300,39071900,94400,45642100,18600,49120800,38300,66690300,20500,50776200,26623700
23250,256900,87100,20900,32700,344300,13700,118900,51971800,59500,52900,10600,39330600,121600,49504900,20900,49463000,47000,67801700,28000,51030300,27133300
23500,238400,85000,19100,32400,191700,16600,76000,52457000,59000,48400,12600,40872900,97400,55556800,17400,49628400,40500,68804600,29800,51764700,26944100
23750,350600,88600,19200,33300,58300,16900,185900,54485800,61400,50000,12400,42136400,40300,48504500,18000,50621600,42000,69451100,30100,53845000,27365200
24000,394900,90500,18400,33700,53600,19100,47300,53930600,59100,51700,11300,42369400,42100,48462700,17600,50824700,48100,68502400,30400,53426300,27638600
24250,313100,88200,22400,31900,45400,19800,45400,55479000,60700,49800,11300,43067700,57200,50085200,17300,50167300,48400,70073500,25100,53891500,28139200
24500,374400,90200,18600,31500,40200,18700,35700,54633600,62900,49100,10800,43852600,67400,50338800,18400,50160000,46200,69916000,33500,54452100,27943400
24750,737400,91700,19200,32700,43700,19600,89800,54991300,59500,52400,11100,44021200,95200,50055200,22000,51423800,42200,71467100,12900,55194300,28339800
25000,529300,90100,19800,34000,44200,18500,89200,55757700,61600,51500,10300,44562100,111000,50470600,20700,52706200,43300,71916200,12600,56076700,28756000
25250,365700,92700,20000,32200,42800,18200,67600,56570700,60600,54400,10800,45205300,121300,50094300,18900,54152900,85400,72095400,11500,61116500,29147100
25500,247800,89100,18300,33200,139300,17900,84000,56592200,61900,51300,10000,46837000,108800,51612600,18800,54638900,69400,72858600,11200,57292900,29472400
25750,183300,88800,17400,32500,121200,17800,23100,55880000,59700,53700,11500,46035800,108700,56049400,18400,55235600,36300,74342000,10700,57979000,30550400
26000,209600,90500,19900,31900,120800,19200,27400,57000800,62000,50600,11900,47942500,110500,64891800,19100,74733700,71500,74220300,8900,60563300,30118900
26250,277100,94900,17500,32600,59200,21200,26200,56376200,62200,52800,10800,54761800,42200,54310300,19900,65314800,55800,75211000,8500,59527100,30470700
26500,269600,93100,19900,33300,46000,23500,27200,56738900,61500,52600,10300,47467400,51300,54813700,18100,55889500,52900,76307500,11600,60047700,31088100
26750,344900,96100,18900,31900,84400,23700,24300,58618800,64000,51100,11400,46233800,142300,55290600,18600,62600000,41300,76823600,27700,60612900,31467500
27000,373200,93300,19400,33000,67800,24200,22900,58233400,63600,52100,10800,47540000,111900,54250700,19400,56238200,51800,76589200,12000,61283000,32678000
27250,383500,93100,17900,32400,37900,18000,22200,58813600,61100,51500,10200,48275100,108900,55328500,20000,57135800,64700,79222800,7600,63903500,31518900
27500,197200,97800,16900,33300,39900,25300,18700,59556400,61600,52500,11100,48545400,123100,55401600,19200,57876800,54200,79291500,10300,62822300,32396000
27750,174400,95800,16900,32600,96300,36600,19900,63195000,61600,51600,10600,53530100,108900,56009300,19300,86130000,52100,80660700,10400,64260000,32649700
28000,185000,99300,16900,31600,45800,72100,27700,63020900,61800,50800,11100,63572500,75900,57561400,19200,60230700,42900,80126700,11600,64269800,33595900
28250,159800,97400,17600,31300,39300,57400,30400,65787000,61800,53500,11500,48420700,43200,57862000,19500,60466900,38200,82102000,10900,64363200,32847800
28500,160100,99800,17900,32200,38300,59200,28100,67182500,62000,49200,10400,49380400,39200,58795700,19800,74324700,46200,82575600,12300,65112800,33136500
28750,177000,98700,18300,32200,38800,77500,22200,69201600,64000,54600,11100,50007400,40400,60212400,19000,84792700,51100,83440300,9900,65548000,34728300
29000,157500,102200,18100,32100,37200,78900,23200,65067900,61900,53700,11800,53777000,40300,59080200,18500,81037900,48600,83699700,8300,66933800,39491100
29250,157000,99000,19800,33900,36800,73500,20800,66249800,63300,53000,10000,50459100,92600,59479500,19400,69458500,43500,84541700,10600,69348300,36290900
29500,152700,102700,18500,33600,38200,36600,23600,66494200,61800,52000,10100,51743900,44400,61707600,18800,64306400,39800,85645500,9800,68030000,34746700
29750,175800,102400,19800,31600,37100,18000,26600,69655900,64700,54600,11000,52863400,40100,62395500,19400,70519100,37400,86526100,9000,69090900,35222500
30000,248800,101700,19000,33100,38500,19300,30100,67647800,61700,58200,9200,53212500,43700,63029500,17900,65421300,39300,87127000,10400,71191000,34761300
30250,259900,101300,20100,30800,50500,19700,22300,68902700,64200,58500,10400,52569500,40400,61754900,18400,65667400,40400,88616600,11600,75670200,34999700
30500,215100,105000,18400,32200,39100,22500,25800,69462200,64200,57600,11000,61107900,79600,72729500,20700,65662400,33500,88521600,8600,73146800,35339000
30750,166200,108300,19100,31900,39700,30700,29500,68644500,65100,59100,11400,53042600,108500,66710400,18400,65848400,122700,89908300,9300,72505200,35423700
31000,167700,102700,19400,31800,36300,31000,23200,70261600,64700,57500,11300,55690100,119900,65662600,19900,69256500,140600,90409500,10800,75728500,36103100
31250,146000,104200,18600,32900,38600,24600,24500,70976300,66800,61100,9800,56789200,42600,65654800,21100,79068000,126600,91965700,12500,74240500,35758300
31500,140000,106900,18900,172300,36600,21800,25700,72882400,60700,56600,9900,60194100,40500,65829600,21400,69727500,67200,90166100,9900,74117900,36577900
31750,141600,104300,18200,69800,37500,21100,22000,73618100,134100,59900,11500,58058300,40200,66902300,28500,69773500,38400,92502400,9100,74405800,36597600
32000,147800,107300,19800,63800,36800,20200,21400,72591200,157100,59000,11200,59026700,41000,67296600,29400,70724000,37200,93140000,10300,75467800,36715100
32250,139400,109000,20200,65900,35400,16100,30800,75444600,236300,62900,12000,74718700,40000,69701200,22000,79439000,114800,92708600,10700,77117200,37029800
32500,239400,132300,19900,79700,35400,17300,25600,75593800,461100,58200,9200,61264500,40400,71455900,20800,85549000,112300,94583800,9900,76170500,37550000
32750,237300,113300,19900,66400,35900,19500,26300,77571100,388900,67600,10700,63461800,52300,68868300,18700,79362900,73000,95159800,31300,78687100,37637300
33000,234600,109700,21400,58900,37900,22400,27700,79835700,270000,63500,12600,62013600,38700,77835300,17600,79543000,2181800,96582200,7600,78549400,39686400
33250,246800,108800,20000,43400,36300,20100,27100,82078200,169400,69900,10400,62411300,38600,73355300,19000,78746400,48800,97122400,9400,79202800,39508600
33500,233700,108200,21500,34800,34400,20500,24100,79078500,142100,67200,11000,65206400,39000,83338400,18300,103707600,41600,96522300,10500,79444600,38868600
33750,156300,113200,20500,38300,37500,17600,22700,78476400,104700,62000,10800,74121900,39600,72255900,18000,82434500,88200,100736100,10600,80347300,38681600
34000,137700,108900,21300,73500,37400,18900,27100,82365100,104100,71300,10600,62596200,39800,85421900,20200,76456600,68600,98177700,10300,80790100,40008400
34250,133000,110700,19800,56400,37800,22700,27400,83990100,105500,104100,10900,63634100,68800,74479400,18000,86708000,81200,99068500,9200,81768500,39637200
34500,155900,112300,21600,36200,37800,20000,22600,84120900,100100,119000,10700,64704100,108900,72361100,19400,81548000,70100,98935200,14000,83365800,40084100
34750,146300,110300,20500,58100,37600,20500,25700,84905800,131200,123400,10600,70267500,119800,76459200,19400,80789700,72700,100324200,9400,82694200,40780100
35000,131700,112400,22500,43900,37800,19000,26400,92259500,101600,159500,11000,69362100,51300,80135000,19500,78337500,61300,100378800,20400,83172500,41102900
35250,160900,114100,20800,39500,38100,19500,25000,89783600,103400,332800,10100,67772300,38200,73253900,19600,79871300,56800,101583800,22100,83450800,41106100
35500,172200,116800,22400,43000,52400,22800,24700,86314100,102000,287500,10900,85087600,39600,116444700,21000,81896900,54700,103698700,23400,84839900,41885500
